"start time",	"request type",	"latency",	"response code"
1612918974849	, Post request	, 86	, 200
1612918974935	, Post request	, 89	, 200
1612918975024	, Post request	, 85	, 200
1612918975109	, Post request	, 84	, 200
1612918975194	, Post request	, 87	, 200
1612918975281	, Post request	, 82	, 200
1612918975363	, Post request	, 81	, 200
1612918975444	, Post request	, 81	, 200
1612918975525	, Post request	, 80	, 200
1612918975605	, Post request	, 83	, 200
1612918975688	, Post request	, 85	, 200
1612918975773	, Post request	, 88	, 200
1612918975861	, Post request	, 85	, 200
1612918970287	, Post request	, 492	, 200
1612918970779	, Post request	, 98	, 200
1612918970877	, Post request	, 87	, 200
1612918970964	, Post request	, 88	, 200
1612918971052	, Post request	, 91	, 200
1612918971143	, Post request	, 84	, 200
1612918971227	, Post request	, 86	, 200
1612918971313	, Post request	, 85	, 200
1612918971398	, Post request	, 84	, 200
1612918971482	, Post request	, 80	, 200
1612918971562	, Post request	, 84	, 200
1612918971646	, Post request	, 84	, 200
1612918971730	, Post request	, 85	, 200
1612918971815	, Post request	, 87	, 200
1612918971902	, Post request	, 84	, 200
1612918971986	, Post request	, 88	, 200
1612918972074	, Post request	, 86	, 200
1612918972160	, Post request	, 87	, 200
1612918972247	, Post request	, 85	, 200
1612918972332	, Post request	, 88	, 200
1612918972420	, Post request	, 94	, 200
1612918972514	, Post request	, 87	, 200
1612918972601	, Post request	, 87	, 200
1612918972688	, Post request	, 85	, 200
1612918972773	, Post request	, 89	, 200
1612918972862	, Post request	, 87	, 200
1612918972949	, Post request	, 86	, 200
1612918973035	, Post request	, 86	, 200
1612918973121	, Post request	, 89	, 200
1612918973210	, Post request	, 85	, 200
1612918973295	, Post request	, 176	, 200
1612918973471	, Post request	, 85	, 200
1612918973556	, Post request	, 89	, 200
1612918973645	, Post request	, 89	, 200
1612918973734	, Post request	, 83	, 200
1612918973817	, Post request	, 87	, 200
1612918973904	, Post request	, 82	, 200
1612918973986	, Post request	, 88	, 200
1612918974074	, Post request	, 88	, 200
1612918974162	, Post request	, 83	, 200
1612918974245	, Post request	, 83	, 200
1612918974328	, Post request	, 86	, 200
1612918974414	, Post request	, 85	, 200
1612918974499	, Post request	, 89	, 200
1612918974588	, Post request	, 88	, 200
1612918974676	, Post request	, 93	, 200
1612918974769	, Post request	, 83	, 200
1612918974852	, Post request	, 85	, 200
1612918974937	, Post request	, 87	, 200
1612918975024	, Post request	, 86	, 200
1612918975110	, Post request	, 91	, 200
1612918975201	, Post request	, 86	, 200
1612918975287	, Post request	, 84	, 200
1612918975371	, Post request	, 85	, 200
1612918975456	, Post request	, 84	, 200
1612918975540	, Post request	, 86	, 200
1612918975626	, Post request	, 84	, 200
1612918975710	, Post request	, 84	, 200
1612918975794	, Post request	, 85	, 200
1612918975880	, Post request	, 86	, 200
1612918970287	, Post request	, 488	, 200
